Headline,Summary,Category,Date Published,Link to Article
Avoid these common health perils of Thanksgiving,Nothing ruins a holiday quicker than a visit to a hospital emergency department. An emergency department physician offers some advice to help you avoid injury and illness during Thanksgiving.,"Jonathan Nadler, MD","November 18, 2016",https://www.health.harvard.edu/blog/avoid-these-common-health-perils-of-thanksgiving-2016111810694
Brain science suggests “mind wandering” can help manage anxiety,The wandering mind can get stuck on negative thoughts and start to “react” to a perceived threat that feels very real–and makes you feel anxious. Naming the negative feeling associated with that thought and then helping your mind wander in a more positive direction can help.,"Srini Pillay, MD","November 17, 2016",https://www.health.harvard.edu/blog/a-different-way-to-manage-anxiety-evidence-from-brain-science-2016111710659
Treatment versus monitoring of prostate cancer: Survival rates the same after 10 years,"Two new studies add to the evidence that for many men with prostate cancer, if it is detected early and has not metastasized beyond the prostate gland, monitoring the cancer will lead to the same chance of survival after 10 as choosing surgery or radiation. Men treated with surgery or radiation often experience significant side effects. The rates of depression and anxiety were the same in men who opted for monitoring and those who opted for treatment.",Cancer,"November 16, 2016",https://www.health.harvard.edu/blog/treatment-versus-monitoring-of-prostate-cancer-survival-rates-the-same-after-10-years-2016111610621
Parents: How smart are you about antibiotics?,"Antibiotics are essential medications and can save lives. But they should only be used when absolutely needed. As with any drug, antibiotics have risks as well as benefits. Side effects range from diarrhea to allergic reactions. Also, using antibiotics when they are not necessary can result in bacteria that cause infections that cannot be treated easily or effectively.   ",Child & Teen Health,"November 15, 2016",https://www.health.harvard.edu/blog/parents-how-smart-are-you-about-antibiotics-2016111510678
Online symptom checkers: You’ll still want to call a doctor when something’s wrong with you,"Researchers compared the diagnostic accuracy of human doctors with various symptom-checking services available online, but online diagnostics won’t be replacing humans anytime soon. While the doctors weren’t perfect, they consistently did better than the computer programs. The study investigators suggest that eventually such programs might be able to help physicians to improve their diagnostic accuracy.","Monique Tello, MD, MPH","November 14, 2016",https://www.health.harvard.edu/blog/online-symptom-checkers-youll-still-want-to-call-a-doctor-when-somethings-wrong-with-you-2016111410607
Hot soup in a hurry,"Making your own soup is easier than you may think, and it’s certainly healthier than buying prepared soup from a restaurant or market. prepared soups often have too much fat and salt; by making it yourself, you can load it up with healthy vegetables. Add protein such as lentils or beans, fish, or extra-lean beef, turkey, or chicken for a complete meal.",Heidi Godman,"November 11, 2016",https://www.health.harvard.edu/blog/hot-soup-in-a-hurry-2016111110572
Caring for those with post-traumatic stress disorder (PTSD),"People with post-traumatic stress disorder (PTSD) experience challenging physical and emotional problems. Those caring for loved ones affected by PTSD need to balance self-care, limits, and realistic expectations. While the symptoms of PTSD may never completely go away, there are effective treatments that can reduce the effects and improve the lives of sufferers and the ones who care for them.","James Cartreine, PhD","November 10, 2016",https://www.health.harvard.edu/blog/caring-for-those-with-post-traumatic-stress-disorder-2016111010641
Heart disease and brain health: Looking at the links,"To keep your brain in tip top shape as you age, work to lower your risk for heart disease. Steps that can help protect both your heart and cognitive abilities include getting regular physical activity, quitting smoking, managing blood sugar and blood cholesterol levels, eating a healthy diet, and maintaining a healthy weight.",Heart Health,"November 9, 2016",https://www.health.harvard.edu/blog/heart-disease-and-brain-health-looking-at-the-links-2016110910582
Teens who use flavored e-cigarettes more likely to start smoking,"E-cigarette smoking among teens is on the rise, and teens are more likely to transition from smoking e-cigarettes to smoking traditional cigarettes. E-cigarettes are marketed towards young people, emphasizing the need for dialogue between teens and the adults in their lives on the health risks surrounding this trend.",Child & Teen Health,"November 8, 2016",https://www.health.harvard.edu/blog/teens-use-flavored-e-cigarettes-likely-start-smoking-2016110810649
When a cough just won’t go away,,"Monique Tello, MD, MPH","April 16, 2020",https://www.health.harvard.edu/blog/when-a-cough-just-wont-go-away-2016110710597
